tickers
SBER
YNDX
GAZP
AFLT
MGNT
MOEX
MTLR
PLZL
ALRS
VTBR
LKOH
MTSS
ROSN
NLMK
CHMF
SNGS
RSTI
AFKS
CBOM
MAGN
TATN
APTK
GMKN
NVTK
SIBN
POLY
RUAL
RTKM
LSRG
TRMK
SBERP
TATNP
SNGSP
IRAO
HYDR
FEES
LNTA
